10, 0
2, 0
3, 0
4, 0
5, 4
6, 65
7, 79
8, 81
9, 78
10, 75
11, 75
12, 82
13, 83
14, 81
15, 82
16, 83
17, 81
18, 84
19, 80
20, 85
21, 81
22, 82
23, 84
24, 80
25, 85
26, 80
27, 79
28, 83
29, 82
30, 80
31, 77
32, 83
33, 84
34, 85
35, 85
36, 77
37, 81
38, 80
39, 83
40, 80
41, 81
42, 76
43, 83
44, 81
45, 82
46, 85
47, 80
48, 82
49, 79
50, 87
51, 77
52, 83
53, 81
54, 84
55, 83
56, 79
57, 76
58, 79
59, 83
60, 82
61, 80
62, 82
63, 85
64, 82
65, 80
66, 82
67, 86
68, 80
69, 77
70, 84
71, 83
72, 84
73, 81
74, 80
75, 76
76, 80
77, 76
78, 82
79, 85
80, 79
81, 87
82, 78
83, 82
84, 81
85, 85
86, 83
87, 83
88, 85
89, 85
90, 80
91, 72
92, 78
93, 79
94, 78
95, 82
96, 84
97, 80
98, 80
99, 78
100, 78
101, 79
