1, 0
2, 0
3, 0
4, 2
5, 29
6, 82
7, 81
8, 81
9, 79
10, 82
11, 83
12, 82
13, 82
14, 80
15, 84
16, 81
17, 83
18, 77
19, 82
20, 79
21, 76
22, 85
23, 79
24, 85
25, 82
26, 81
27, 79
28, 83
29, 84
30, 79
31, 75
32, 77
33, 84
34, 82
35, 78
36, 86
37, 85
38, 81
39, 81
40, 81
41, 85
42, 76
43, 83
44, 77
45, 82
46, 78
47, 82
48, 83
49, 82
50, 83
51, 83
52, 83
53, 82
54, 81
55, 80
56, 75
57, 80
58, 76
59, 81
60, 86
61, 80
62, 79
63, 79
64, 76
65, 84
66, 82
67, 87
68, 78
69, 78
70, 77
71, 82
72, 80
73, 82
74, 79
75, 77
76, 80
77, 80
78, 81
79, 81
80, 84
81, 85
82, 83
83, 85
84, 82
85, 80
86, 76
87, 79
88, 85
89, 83
90, 84
91, 77
92, 78
93, 78
94, 84
95, 83
96, 82
97, 77
98, 82
99, 79
100, 83
101, 80
