3, 0
2, 0
3, 0
4, 3
5, 54
6, 78
7, 82
8, 79
9, 77
10, 78
11, 77
12, 82
13, 82
14, 78
15, 81
16, 82
17, 80
18, 83
19, 78
20, 81
21, 81
22, 77
23, 79
24, 82
25, 85
26, 82
27, 78
28, 81
29, 76
30, 81
31, 82
32, 81
33, 78
34, 81
35, 83
36, 81
37, 75
38, 82
39, 81
40, 76
41, 84
42, 79
43, 81
44, 80
45, 83
46, 84
47, 84
48, 78
49, 81
50, 82
51, 84
52, 78
53, 83
54, 86
55, 82
56, 78
57, 82
58, 81
59, 82
60, 79
61, 79
62, 79
63, 80
64, 84
65, 87
66, 81
67, 81
68, 83
69, 86
70, 83
71, 80
72, 80
73, 75
74, 83
75, 78
76, 80
77, 83
78, 80
79, 80
80, 82
81, 83
82, 77
83, 86
84, 75
85, 83
86, 81
87, 84
88, 81
89, 81
90, 82
91, 81
92, 81
93, 80
94, 88
95, 81
96, 78
97, 84
98, 80
99, 82
100, 85
101, 81
